ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
97,K078,22K078,J.H.S. 078 Roy H. Mann,K078,1420 East 68 Street,K,22,582,1420 East 68 Street CONSOLIDATED LOCATION,2,J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
98,K078,84K781,SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS),K781,1420 East 68 Street,K,22,385,1420 East 68 Street CONSOLIDATED LOCATION,2,J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
99,K078,,1420 East 68 Street CONSOLIDATED LOCATION,,1420 East 68 Street,K,22,967,1420 East 68 Street CONSOLIDATED LOCATION,2,J.H.S. 078 Roy H. Mann |SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH(BS)  | CONSOLIDATED LOCATION,0,2,6,1,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91
100,K081,16K081,PS 81(BROOKLYN),K081,990 DEKALB AVENUE,K,16,263,,1,PS 81(BROOKLYN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
101,K084,14K084,PS 84(BROOKLYN),K084,250 BERRY STREET,K,14,721,,1,PS 84(BROOKLYN),0,0,1,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
102,K085,75K753,P753 SCHOOL FOR CAREER DEV.(BN),K753,510 CLERMONT AVENUE,K,13,206,,1,P753 SCHOOL FOR CAREER DEV.(BN),0,0,5,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
103,K086,32K086,PS 86(BROOKLYN),K086,220 IRVING AVENUE,K,32,377,,1,PS 86(BROOKLYN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
104,K088,15K088,J.H.S. 088 Peter Rouget,K088,544 SEVENTH AVENUE,K,15,1334,544 SEVENTH AVENUE CONSOLIDATED LOCATION,2,P.S. K053 |  J.H.S. 088 Peter Rouget |  544 7TH AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,7C,1251-1500,N/A,N/A,N/A,N/A,N/A
105,K088,75K053,P.S. K053,K053,544 SEVENTH AVENUE,K,15,463,544 SEVENTH AVENUE CONSOLIDATED LOCATION,2,P.S. K053 |  J.H.S. 088 Peter Rouget |  544 7TH AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
106,K088,,544 7TH AVENUE CONSOLIDATED LOCATION,,544 7TH AVENUE,K,15,1797,544 SEVENTH AVENUE CONSOLIDATED LOCATION,2,P.S. K053 |  J.H.S. 088 Peter Rouget |  544 7TH AVENUE CONSOLIDATED LOCATION,1,3,4,3,1,9C,1751-2000,1.35,4.73,18.5,2.46,2.92
107,K090,21K090,PS 90(BROOKLYN),K090,2840 WEST 12 STREET,K,21,604,,1,PS 90(BROOKLYN),0,2,0,2,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
108,K091,17K091,PS 91(BROOKLYN),K091,532 ALBANY AVENUE,K,17,245,,1,PS 91(BROOKLYN),0,0,0,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
109,K092,17K092,PS 92(BROOKLYN),K092,601 PARKSIDE AVENUE,K,17,394,,1,PS 92(BROOKLYN),0,3,0,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
110,K093,13K093,PS 93(BROOKLYN),K093,31 NEW YORK AVENUE,K,13,237,,1,PS 93(BROOKLYN),0,0,1,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
111,K094,15K094,PS 94(BROOKLYN),K094,5010 SIXTH AVENUE,K,15,1363,,1,PS 94(BROOKLYN),0,1,2,1,0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47
112,K095,21K095,PS 95(BROOKLYN),K095,345 VAN SICKLEN STREET,K,21,927,,1,PS 95(BROOKLYN),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
113,K096,21K096,I.S. 096 Seth Low,K096,99 AVENUE P,K,21,797,99 AVENUE P CONSOLIDATED LOCATION,2,IS 096 Seth Low|  Success Academy Charter School| 99 AVENUE P CONSOLIDTED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A
114,K096,84K772,SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST(BS),K772,99 AVENUE P,K,21,465,99 AVENUE P CONSOLIDATED LOCATION,2,IS 096 Seth Low|  Success Academy Charter School| 99 AVENUE P CONSOLIDTED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
115,K096,,99 AVENUE P CONSOLIDATED LOCATION ,,99 AVENUE P,K,21,1262,99 AVENUE P CONSOLIDATED LOCATION ,2,IS 096 Seth Low|  Success Academy Charter School| 99 AVENUE P CONSOLIDTED LOCATION,2,3,4,4,0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47
116,K097,21K097,PS 97(BROOKLYN),K097,1855 STILLWELL AVENUE,K,21,777,,1,PS 97(BROOKLYN),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
117,K099,21K099,PS 99(BROOKLYN),K099,1120 EAST 10 STREET,K,21,842,,1,PS 99(BROOKLYN),1,0,2,0,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91
118,K100,21K100,PS 100(BS),K100,2951 WEST 3 STREET,K,21,733,,1,PS 100(BS),0,0,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
119,K101,21K101,PS 101(BS),K101,2360 BENSON AVENUE,K,21,875,,1,PS 101(BS),0,0,3,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
120,K102,20K102,PS 102(BS),K102,211 72 STREET,K,20,1426,,1,PS 102(BS),0,2,0,1,1,7C,1251-1500,0.65,2.79,6.71,1.48,1.47
121,K104,20K104,PS 104(BS),K104,9115 FIFTH AVENUE,K,20,1250,,1,PS 104(BS),0,1,2,1,0,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
122,K105,20K105,PS 105(BS),K105,1031 59 STREET,K,20,1511,,1,PS 105(BS),0,1,0,1,0,8C,1501-1750,0.45,2.95,7.14,1.48,1.6
123,K106,32K106,PS 106(BN),K106,1328 PUTNAM AVENUE,K,32,406,,1,PS 106(BN),0,1,1,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
124,K107,15K107,PS 107(BS),K107,1301 EIGHTH AVENUE,K,15,558,,1,PS 107(BS),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
125,K108,19K108,PS 108(BN),K108,200 LINWOOD STREET,K,19,847,,1,PS 108(BN),1,0,0,1,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
126,K110,14K110,PS 110(BN),K110,124 MONITOR STREET,K,14,432,,1,PS 110(BN),0,0,1,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
127,K111,32K347,I.S. 347 School of Humanities,K347,35 STARR STREET,K,32,316,35 STARR STREET CONSOLIDATED LOCATION,2,"I.S. 347 School of Humanities |  I.S. 349 Math, Science & Tech. |  35 STARR STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
128,K111,32K349,"I.S. 349 Math, Science & Tech.",K349,35 STARR STREET,K,32,314,35 STARR STREET CONSOLIDATED LOCATION,2,"I.S. 347 School of Humanities |  I.S. 349 Math, Science & Tech. |  35 STARR STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
129,K111,,35 STARR STREET CONSOLIDATED LOCATION,,35 STARR STREET,K,32,630,35 STARR STREET CONSOLIDATED LOCATION,2,"I.S. 347 School of Humanities |  I.S. 349 Math, Science & Tech. |  35 STARR STREET CONSOLIDATED LOCATION",0,5,9,1,3,4C,501-750,0.26,1.13,2.41,0.66,0.57
130,K112,20K112,PS 112(BS),K112,7115  15TH AVENUE,K,20,658,,1,PS 112(BS),0,0,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
131,K113,13K113,JHS 113(BN),K113,300 ADELPHI STREET,K,13,307,300 ADELPHI STREET CONSOLIDATED LOCATION,2,JHS 113 | Compass Charter School | 300 Adelphi Street Consolidated Location,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
132,K113,84K789,COMPASS CHARTER SCHOOL(BN),K789,300 ADELPHI STREET,K,13,260,300 ADELPHI STREET CONSOLIDATED LOCATION,2,JHS 113 | Compass Charter School | 300 Adelphi Street Consolidated Location,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
133,K113,,300 ADELPHI STREET CONSOLIDATED LOCATION,,300 ADELPHI STREET,K,13,567,300 ADELPHI STREET CONSOLIDATED LOCATION,2,JHS 113 | Compass Charter School | 300 Adelphi Street Consolidated Location,0,1,2,0,1,4C,501-750,0.26,1.13,2.41,0.66,0.57
134,K114,18K114,PS 114(BS),K114,1077 REMSEN AVENUE,K,18,494,,1,PS 114(BS),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
135,K115,18K115,PS 115(BS),K115,1500 EAST 92 STREET,K,18,881,,1,PS 115(BS),1,0,1,0,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91
136,K116,32K116,PS 116(BN),K116,515 KNICKERBOCKER AVENUE,K,32,392,,1,PS 116(BN),0,0,1,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
137,K117,13K117,JHS 117(BN),K412,300 WILLOUGHBY AVENUE,K,13,355,300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,3,Brooklyn Community High School of Communication Arts and Media |  JHS 117 |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
138,K117,13K412,BROOKLYN COMMUNITY HS OF COMMUNICATION ARTS & MEDIA(BN),K412,300 Willoughby Ave,K,13,355,300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,3,Brooklyn Community High School of Communication Arts and Media |  JHS 117 |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
139,K117,13K616,BROOKLYN HS FOR LEADERSHIP & COMMUNITY SERVICE(BN),K616,300 Willoughby Ave,K,13,159,300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,3,Brooklyn Community High School of Communication Arts and Media |  JHS 117 |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
140,K117,,300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,,300 WILLOUGHBY AVENUE,K,13,869,300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,3,Brooklyn Community High School of Communication Arts and Media |  JHS 117 |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,3,3,3,2,4,5C,751-1000,0.38,1.52,3.88,0.83,0.91
141,K119,22K119,PS 119(BS),K119,3829 AVENUE K,K,22,404,,1,PS 119(BS),0,0,1,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
142,K120,14K120,PS 120(BN),K120,18 BEAVER STREET,K,14,370,,1,PS 120(BN),0,2,3,2,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
143,K121,21K121,PS 121(BS),K121,5301 20 AVENUE,K,21,340,,1,PS 121(BS),0,2,2,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
144,K123,32K123,PS 123(BN),K123,100 Irving Ave,K,32,580,,1,PS 123(BN),0,0,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
145,K124,15K124,PS 124 SILAS B.DUTCHER(BS),K124,515 4th Ave.,K,15,281,,1,PS 124 SILAS B.DUTCHER(BS),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
146,K126,14K126,JHS 126(BN),K126,424 LEONARD STREET,K,14,374,,1,JHS 126(BN),2,4,5,4,2,3C,251-500,0.25,1.03,2.22,0.55,0.58
147,K127,20K127,PS 127(BS),K127,7805 7 AVENUE,K,20,544,,1,PS 127(BS),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
148,K128,21K128,PS 128(BS),K128,2075 84 STREET,K,21,461,,1,PS 128(BS),0,2,0,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
149,K130,15K130,PS 130(BS),K130,70 OCEAN PARKWAY,K,15,743,,1,PS 130(BS),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
150,K131,15K131,PS 131(BS),K131,4305 FORT HAMILTON PARKWAY,K,15,954,,1,PS 131(BS),1,1,1,2,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
151,K132,14K132,PS 132(BN),K132,320 MANHATTAN AVENUE,K,14,652,,1,PS 132(BN),0,1,0,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
152,K135,18K135,PS 135(BS),K135,684 LINDEN BOULEVARD,K,18,557,,1,PS 135(BS),0,0,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
153,K136,15K136,I.S. 136 Charles O. Dewey,K821,4004 FOURTH AVENUE,K,15,483,4004 FOURTH AVENUE CONSOLIDATED LOCATION,2,I.S. 136 Charles O. Dewey | Sunset Park Prep |  4004 4 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
154,K136,15K821,Sunset Park Prep,K821,4004 FOURTH AVENUE,K,15,505,4004 FOURTH AVENUE CONSOLIDATED LOCATION,2,I.S. 136 Charles O. Dewey | Sunset Park Prep |  4004 4 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
155,K136,,4004 4 AVENUE CONSOLIDATED LOCATION,,4004 4 AVENUE,K,15,988,4004 4 AVENUE CONSOLIDATED LOCATION,2,I.S. 136 Charles O. Dewey | Sunset Park Prep |  4004 4 AVENUE CONSOLIDATED LOCATION,1,2,2,2,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91
156,K137,23K137,PS 137(BN),K137,121 SARATOGA AVENUE,K,23,263,121 SARATOGA AVENUE CONSOLIDATED LOCATION,2,PS 137  | IS 271 |121 Saratoga Avenue Consolidated Plan,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
157,K137,23K271,IS/JHS 271(BN),K522,1137 HERKIMER STREET,K,23,160,121 SARATOGA AVENUE CONSOLIDATED LOCATION,2,PS 137  | IS 271 |121 Saratoga Avenue Consolidated Plan,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
158,K137,,121 SARATOGA AVENUE CONSOLIDATED LOCATION,,121 SARATOGA AVENUE,K,23,423,121 SARATOGA AVENUE CONSOLIDATED LOCATION,2,PS 137  | IS 271 |121 Saratoga Avenue Consolidated Plan,0,2,0,2,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
159,K138,17K138,PS 138(BN),K138,760 PROSPECT PLACE,K,17,546,,1,PS 138(BN),1,3,4,1,3,4C,501-750,0.26,1.13,2.41,0.66,0.57
160,K139,22K139,PS 139(BS),K139,330 RUGBY ROAD,K,22,920,,1,PS 139(BS),0,0,0,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
161,K142,15K146,PS 146(BS),K146,610 HENRY STREET,K,15,625,610 HENRY STREET CONSOLIDATED LOCATION,3,P.S. 146 |  Brooklyn Secondary School for Collaborative Studie | IS 823|   610 HENRY STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
162,K142,15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES(BS) ,K448,610 HENRY STREET,K,15,585,610 HENRY STREET CONSOLIDATED LOCATION,3,P.S. 146 |  Brooklyn Secondary School for Collaborative Studie | IS 823|   610 HENRY STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
163,K142,88K823,IS/JHS 823(BS),K823,610 HENRY STREET,K,15,1,610 HENRY STREET CONSOLIDATED LOCATION,3,P.S. 146 |  Brooklyn Secondary School for Collaborative Studie | IS 823|   610 HENRY STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
164,K142,,610 HENRY STREET CONSOLIDATED LOCATION,,610 HENRY STREET,K,15,1211,610 HENRY STREET CONSOLIDATED LOCATION,3,P.S. 146 |  Brooklyn Secondary School for Collaborative Studie | IS 823|   610 HENRY STREET CONSOLIDATED LOCATION,0,2,3,0,2,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
165,K145,32K145,PS 145(BN),K145,100 NOLL STREET,K,32,522,,1,PS 145(BN),0,1,2,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
166,K147,14K147,P.S. 147 Isaac Remsen,K147,325 BUSHWICK AVENUE,K,14,302,325 BUSHWICK AVENUE CONSOLIDATED LOCATION,2,P.S. 147 Isaac Remsen |  Young Women's Leadership School of Brooklyn |  325 BUSHWICK AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
167,K147,14K614,Young Women's Leadership School of Brooklyn,K614,223 Graham Ave,K,14,331,223 Graham Ave CONSOLIDATED LOCATION,2,P.S. 147 Isaac Remsen |  Young Women's Leadership School of Brooklyn |  325 BUSHWICK AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
168,K147,,325 BUSHWICK AVENUE CONSOLIDATED LOCATION,,325 BUSHWICK AVENUE,K,14,633,325 BUSHWICK AVENUE CONSOLIDATED LOCATION,2,P.S. 147 Isaac Remsen |  Young Women's Leadership School of Brooklyn |  325 BUSHWICK AVENUE CONSOLIDATED LOCATION,0,1,6,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
169,K148,75K373,P373 BKYLN TRANSITION CTR(BN),K373,185 ELLERY STREET,K,14,386,,1,P373 BKYLN TRANSITION CTR(BN),0,1,1,0,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
170,K149,19K149,PS 149(BROOKLYN),K149,700 SUTTER AVENUE,K,19,606,,1,PS 149(BROOKLYN),0,0,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
171,K150,23K150,PS 150(BROOKLYN),K150,364 SACKMAN STREET,K,23,177,,1,PS 150(BROOKLYN),0,1,2,1,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
172,K151,32K151,PS 151(BROOKLYN),K151,763 KNICKERBOCKER AVENUE,K,32,273,,1,PS 151(BROOKLYN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
173,K152,22K152,School of Science & Technology,K152,725  EAST 23 STREET,K,22,700,725  EAST 23 STREET CONSOLIDATED LOCATION,2,School of Science & Technology |  P.S. K315 |  2310 GLENWOOD ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
174,K152,22K315,P.S. K315,K315,2310 GLENWOOD ROAD,K,22,651,2310 GLENWOOD ROAD CONSOLIDATED LOCATION,2,School of Science & Technology |  P.S. K315 |  2310 GLENWOOD ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
175,K152,,2310 GLENWOOD ROAD CONSOLIDATED LOCATION,,2310 GLENWOOD ROAD,K,22,1351,2310 GLENWOOD ROAD CONSOLIDATED LOCATION,2,School of Science & Technology |  P.S. K315 |  2310 GLENWOOD ROAD CONSOLIDATED LOCATION,0,0,2,0,0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47
176,K153,21K153,PS 153(BROOKLYN),K153,1970 HOMECREST AVENUE,K,21,486,,1,PS 153(BROOKLYN),1,3,0,4,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
177,K154,15K154,PS 154(BROOKLYN),K154,1625  11 AVENUE,K,15,505,,1,PS 154(BROOKLYN),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
178,K155,23K155,PS 155(BROOKLYN),K155,1355 HERKIMER STREET,K,23,381,,1,PS 155(BROOKLYN),1,0,6,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
179,K157,14K157,PS 157(BROOKLYN),K157,850 KENT AVENUE,K,14,452,,1,PS 157(BROOKLYN),1,2,0,2,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
180,K158,19K158,PS 158(BROOKLYN),K158,400 ASHFORD STREET,K,19,537,,1,PS 158(BROOKLYN),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
181,K159,19K159,PS 159(BN),K159,2781 PITKIN AVENUE,K,19,794,,1,PS 159(BN),0,0,0,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
182,K160,20K160,PS 160(BS),K160,5105 FT. HAMILTON PARKWAY,K,20,1249,,1,PS 160(BS),0,0,0,0,0,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
183,K161,17K161,P.S. 161 The Crown,K161,330 CROWN STREET,K,17,349,330 CROWN STREET CONSOLIDATED LOCATION,2,P.S. 161 The Crown|SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS)|330 CROWN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
184,K161,84K741,SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS),K741,330 CROWN STREET,K,17,637,330 CROWN STREET CONSOLIDATED LOCATION,2,P.S. 161 The Crown|SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS)|330 CROWN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
185,K161,,330 CROWN STREET CONSOLIDATED LOCATION,,330 CROWN STREET,K,17,986,330 CROWN STREET CONSOLIDATED LOCATION,2,P.S. 161 The Crown|SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS)|330 CROWN STREET CONSOLIDATED LOCATION,1,0,3,0,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91
186,K162,32K162,IS 162(BN),K162,1390 WILLOUGHBY AVENUE,K,32,355,,1,IS 162(BN),0,1,4,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
187,K163,20K748,PS 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,K748,1664 BENSON AVENUE,K,20,546,,1,PS 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
188,K164,20K164,PS 164(BROOKLYN),K164,4211 14 AVENUE,K,20,703,,1,PS 164(BROOKLYN),1,0,1,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
189,K165,23K165,PS 165(BROOKLYN),K165,76 LOTT AVENUE,K,23,161,,1,PS 165(BROOKLYN),0,0,0,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
190,K166,19K166,JHS 166 GEORGE GERSHWIN(BN),K166,800 VAN SICLEN AVENUE,K,19,SCHOOL CLOSED,800 VAN SICLEN AVENUE CONSOLIDATED LOCATION,2,JHS 166 George Gershwin| Achivement First Brooklyn Academy Charter School |800 VAN SICLEN AVE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
191,K166,84K788,ACHIEVEMENT FIRST BROOKLYN ACADEMY CHARTER SCHOOL @ JHS 166,K788,800 VAN SICLEN AVE,K,19,438,800 VAN SICLEN AVENUE CONSOLIDATED LOCATION,2,JHS 166 George Gershwin| Achivement First Brooklyn Academy Charter School |800 VAN SICLEN AVE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
192,K166,,800 VAN SICLEN AVENUE CONSOLIDATED LOCATION,,800 Van Siclen,K,19,438,800 VAN SICLEN AVENUE CONSOLIDATED LOCATION,2,JHS 166 George Gershwin| Achivement First Brooklyn Academy Charter School |800 VAN SICLEN AVE CONSOLIDATED LOCATION,0,5,9,0,4,3C,251-500,0.25,1.03,2.22,0.55,0.58
193,K167,17K532,PS 167(BROOKLYN),K167,1025 EASTERN PARKWAY,K,17,393,,1,PS 167(BROOKLYN),0,0,1,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
194,K169,15K169,PS 169(BROOKLYN),K169,4305 SEVENTH AVENUE,K,15,1470,,1,PS 169(BROOKLYN),0,0,0,0,0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47
195,K170,20K170,PS 170(BROOKLYN),K170,7109 SIXTH AVENUE,K,20,1031,,1,PS 170(BROOKLYN),0,0,0,0,0,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
196,K171,19K171,I.S. 171 Abraham Lincoln,K171,528 RIDGEWOOD AVENUE,K,19,449,528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,2,I.S. 171 Abraham Lincoln |  Highland Park Community School |  528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
197,K171,19K760,Highland Park Community School,K760,528 RIDGEWOOD AVENUE,K,19,320,528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,2,I.S. 171 Abraham Lincoln |  Highland Park Community School |  528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
198,K171,,528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,,528 RIDGEWOOD AVENUE,K,19,769,528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,2,I.S. 171 Abraham Lincoln |  Highland Park Community School |  528 RIDGEWOOD AVENUE CONSOLIDATED LOCATION,0,0,4,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
199,K172,15K172,PS 172(BROOKLYN),K172,825 FOURTH AVENUE,K,15,550,,1,PS 172(BROOKLYN),0,0,1,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
200,K174,19K557,Brooklyn Gardens Elementary School,K557,574 DUMONT AVENUE,K,19,289,574 Dumont Avenue Consolidated Location,2,Brooklyn Gardens Elementary School| School of the Future Brooklyn| 574 Dumont Avenue Consolidated Location,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
